slice,dist,mantelr,pval3,llim.2.5%,ulim.97.5%,dist1,dist2,dist3,otus,Comparison,Mya
70000000,Aitchison,0.016777972838748375,0.757,-0.01592095920147708,0.05211728046094536,spat.dist,phylo.dist,plant.dist,2189,Microbiome ~ spat.dist + phylo.dist + plant.dist,70
70000000,Aitchison,-0.007345526240340218,0.825,-0.03740776691680327,0.02423306462582158,plant.dist,spat.dist,phylo.dist,2189,Microbiome ~ plant.dist + spat.dist + phylo.dist,70
80000000,Aitchison,0.1699414822448257,0.001,0.10312173513523541,0.19524365980604694,phylo.dist,plant.dist,spat.dist,2122,Microbiome ~ phylo.dist + plant.dist + spat.dist,80
80000000,Aitchison,0.01931570237216095,0.686,-0.014050155713981348,0.05369754028504986,spat.dist,phylo.dist,plant.dist,2122,Microbiome ~ spat.dist + phylo.dist + plant.dist,80
80000000,Aitchison,-0.003344723039572814,0.92,-0.030745014771068883,0.025423597238631523,plant.dist,spat.dist,phylo.dist,2122,Microbiome ~ plant.dist + spat.dist + phylo.dist,80
90000000,Aitchison,0.17255756134793418,0.001,0.1077548464045843,0.19894103268381608,phylo.dist,plant.dist,spat.dist,2045,Microbiome ~ phylo.dist + plant.dist + spat.dist,90
90000000,Aitchison,0.01724428304438601,0.73,-0.014723947654632445,0.05353495539912699,spat.dist,phylo.dist,plant.dist,2045,Microbiome ~ spat.dist + phylo.dist + plant.dist,90
90000000,Aitchison,-0.0050581194497922935,0.885,-0.02913532358010886,0.02373804253592307,plant.dist,spat.dist,phylo.dist,2045,Microbiome ~ plant.dist + spat.dist + phylo.dist,90
100000000,Aitchison,0.17308976458767972,0.003,0.1089396536538556,0.19782290349574436,phylo.dist,plant.dist,spat.dist,1980,Microbiome ~ phylo.dist + plant.dist + spat.dist,100
100000000,Aitchison,0.019929152922488716,0.696,-0.01201507561522953,0.057492971008820004,spat.dist,phylo.dist,plant.dist,1980,Microbiome ~ spat.dist + phylo.dist + plant.dist,100
100000000,Aitchison,-0.002873768339204481,0.954,-0.035795344843857047,0.025589305319362904,plant.dist,spat.dist,phylo.dist,1980,Microbiome ~ plant.dist + spat.dist + phylo.dist,100
110000000,Aitchison,0.17079971233415436,0.002,0.10487040970404904,0.19588649811665726,phylo.dist,plant.dist,spat.dist,1911,Microbiome ~ phylo.dist + plant.dist + spat.dist,110
110000000,Aitchison,0.024063853102747796,0.611,-0.005081355579121025,0.057621481750571094,spat.dist,phylo.dist,plant.dist,1911,Microbiome ~ spat.dist + phylo.dist + plant.dist,110
110000000,Aitchison,-0.0023607596791720485,0.933,-0.03033755460428847,0.025298589318354152,plant.dist,spat.dist,phylo.dist,1911,Microbiome ~ plant.dist + spat.dist + phylo.dist,110
120000000,Aitchison,0.17467797684748407,0.002,0.10879071354409585,0.2007743238525601,phylo.dist,plant.dist,spat.dist,1842,Microbiome ~ phylo.dist + plant.dist + spat.dist,120
120000000,Aitchison,0.024255418094090896,0.637,-0.0056692991298694295,0.05619972226747872,spat.dist,phylo.dist,plant.dist,1842,Microbiome ~ spat.dist + phylo.dist + plant.dist,120
120000000,Aitchison,-0.0044034662598218255,0.897,-0.029012425557780216,0.021068850659859518,plant.dist,spat.dist,phylo.dist,1842,Microbiome ~ plant.dist + spat.dist + phylo.dist,120
130000000,Aitchison,0.17469501514338356,0.001,0.11317076794991175,0.19881721694985188,phylo.dist,plant.dist,spat.dist,1785,Microbiome ~ phylo.dist + plant.dist + spat.dist,130
130000000,Aitchison,0.027979277508565235,0.579,-0.002948059245079389,0.06223502341907564,spat.dist,phylo.dist,plant.dist,1785,Microbiome ~ spat.dist + phylo.dist + plant.dist,130
130000000,Aitchison,-0.0018369599995609897,0.96,-0.026580578355501375,0.020820466254915574,plant.dist,spat.dist,phylo.dist,1785,Microbiome ~ plant.dist + spat.dist + phylo.dist,130
140000000,Aitchison,0.1752221357444732,0.001,0.10616054967442014,0.19855607150422253,phylo.dist,plant.dist,spat.dist,1747,Microbiome ~ phylo.dist + plant.dist + spat.dist,140
140000000,Aitchison,0.02826864056915754,0.58,-0.007080954240526726,0.060015719989118366,spat.dist,phylo.dist,plant.dist,1747,Microbiome ~ spat.dist + phylo.dist + plant.dist,140
140000000,Aitchison,-2.1630564666768928e-4,0.994,-0.027135843706942244,0.025779461710000263,plant.dist,spat.dist,phylo.dist,1747,Microbiome ~ plant.dist + spat.dist + phylo.dist,140
150000000,Aitchison,0.17713787472270398,0.001,0.11567000908909136,0.1997942966896495,phylo.dist,plant.dist,spat.dist,1675,Microbiome ~ phylo.dist + plant.dist + spat.dist,150
150000000,Aitchison,0.030166324774386796,0.546,-0.0015066051732580833,0.06306512707082612,spat.dist,phylo.dist,plant.dist,1675,Microbiome ~ spat.dist + phylo.dist + plant.dist,150
150000000,Aitchison,0.0020955918706262243,0.95,-0.02274730630333939,0.029690322291459625,plant.dist,spat.dist,phylo.dist,1675,Microbiome ~ plant.dist + spat.dist + phylo.dist,150
160000000,Aitchison,0.17647721203572403,0.001,0.1140811586483011,0.2020438898424755,phylo.dist,plant.dist,spat.dist,1639,Microbiome ~ phylo.dist + plant.dist + spat.dist,160
160000000,Aitchison,0.031254693889280566,0.559,-2.345201942343666e-4,0.06798117640816032,spat.dist,phylo.dist,plant.dist,1639,Microbiome ~ spat.dist + phylo.dist + plant.dist,160
160000000,Aitchison,0.002616143773321233,0.946,-0.021152963937749694,0.029835417056763337,plant.dist,spat.dist,phylo.dist,1639,Microbiome ~ plant.dist + spat.dist + phylo.dist,160
170000000,Aitchison,0.17742190182429993,0.001,0.11053241944947094,0.20315403405356064,phylo.dist,plant.dist,spat.dist,1596,Microbiome ~ phylo.dist + plant.dist + spat.dist,170
170000000,Aitchison,0.0332242276254699,0.495,-0.0015596510042894948,0.06676140892674018,spat.dist,phylo.dist,plant.dist,1596,Microbiome ~ spat.dist + phylo.dist + plant.dist,170
170000000,Aitchison,0.0021963489376166418,0.947,-0.025289648227791797,0.02733398413753662,plant.dist,spat.dist,phylo.dist,1596,Microbiome ~ plant.dist + spat.dist + phylo.dist,170
180000000,Aitchison,0.17747605880191109,0.001,0.11580423291312734,0.2003536423882769,phylo.dist,plant.dist,spat.dist,1568,Microbiome ~ phylo.dist + plant.dist + spat.dist,180
180000000,Aitchison,0.033489077790042114,0.499,0.0010285206536974844,0.0662401711079709,spat.dist,phylo.dist,plant.dist,1568,Microbiome ~ spat.dist + phylo.dist + plant.dist,180
180000000,Aitchison,0.003111788944095534,0.925,-0.02352423352061375,0.027457135712355987,plant.dist,spat.dist,phylo.dist,1568,Microbiome ~ plant.dist + spat.dist + phylo.dist,180
190000000,Aitchison,0.1800724038071482,0.001,0.11300615262594105,0.20722296844262866,phylo.dist,plant.dist,spat.dist,1502,Microbiome ~ phylo.dist + plant.dist + spat.dist,190
190000000,Aitchison,0.03940158406379516,0.477,0.00829008102454773,0.07216085310329223,spat.dist,phylo.dist,plant.dist,1502,Microbiome ~ spat.dist + phylo.dist + plant.dist,190
190000000,Aitchison,0.0030752726918762447,0.939,-0.020804423856121034,0.03279544098925893,plant.dist,spat.dist,phylo.dist,1502,Microbiome ~ plant.dist + spat.dist + phylo.dist,190
200000000,Aitchison,0.17703271126270761,0.001,0.1146493890629639,0.20242602451695746,phylo.dist,plant.dist,spat.dist,1461,Microbiome ~ phylo.dist + plant.dist + spat.dist,200
200000000,Aitchison,0.0406284377338504,0.437,0.0080988431330557345,0.07423956271481516,spat.dist,phylo.dist,plant.dist,1461,Microbiome ~ spat.dist + phylo.dist + plant.dist,200
200000000,Aitchison,0.003441191689115224,0.909,-0.021798617740979336,0.030126882790594854,plant.dist,spat.dist,phylo.dist,1461,Microbiome ~ plant.dist + spat.dist + phylo.dist,200
210000000,Aitchison,0.19009906603333349,0.001,0.1263946967487639,0.21413720460243968,phylo.dist,plant.dist,spat.dist,1402,Microbiome ~ phylo.dist + plant.dist + spat.dist,210
210000000,Aitchison,0.042821876008577925,0.398,0.007800954746811599,0.08329203836889697,spat.dist,phylo.dist,plant.dist,1402,Microbiome ~ spat.dist + phylo.dist + plant.dist,210
210000000,Aitchison,-2.868613753850413e-4,0.996,-0.02556469928457958,0.020629278007159753,plant.dist,spat.dist,phylo.dist,1402,Microbiome ~ plant.dist + spat.dist + phylo.dist,210
220000000,Aitchison,0.1908915499579199,0.001,0.13152289449945553,0.21514300010689835,phylo.dist,plant.dist,spat.dist,1371,Microbiome ~ phylo.dist + plant.dist + spat.dist,220
220000000,Aitchison,0.04397018322398082,0.372,0.010483098489772746,0.07916835203230653,spat.dist,phylo.dist,plant.dist,1371,Microbiome ~ spat.dist + phylo.dist + plant.dist,220
220000000,Aitchison,1.9658047696554385e-4,0.995,-0.02262108086722872,0.02779944081176431,plant.dist,spat.dist,phylo.dist,1371,Microbiome ~ plant.dist + spat.dist + phylo.dist,220
230000000,Aitchison,0.19795132589688005,0.001,0.13544546960763926,0.2238127817074011,phylo.dist,plant.dist,spat.dist,1316,Microbiome ~ phylo.dist + plant.dist + spat.dist,230
230000000,Aitchison,0.04820797319301634,0.339,0.018549023190466453,0.08806391162878258,spat.dist,phylo.dist,plant.dist,1316,Microbiome ~ spat.dist + phylo.dist + plant.dist,230
230000000,Aitchison,-0.0059614447584102545,0.855,-0.034158908381539115,0.018395349286002387,plant.dist,spat.dist,phylo.dist,1316,Microbiome ~ plant.dist + spat.dist + phylo.dist,230
240000000,Aitchison,0.19590344211313115,0.001,0.136108105108968,0.21981900558501172,phylo.dist,plant.dist,spat.dist,1277,Microbiome ~ phylo.dist + plant.dist + spat.dist,240
240000000,Aitchison,0.04982110506413778,0.315,0.01608682107199815,0.08813893043211987,spat.dist,phylo.dist,plant.dist,1277,Microbiome ~ spat.dist + phylo.dist + plant.dist,240
240000000,Aitchison,-0.008545203830087857,0.807,-0.03245176820383727,0.012931526567074513,plant.dist,spat.dist,phylo.dist,1277,Microbiome ~ plant.dist + spat.dist + phylo.dist,240
250000000,Aitchison,0.20002263000608356,0.001,0.14110912137229792,0.2251734229052361,phylo.dist,plant.dist,spat.dist,1218,Microbiome ~ phylo.dist + plant.dist + spat.dist,250
250000000,Aitchison,0.050379625928752225,0.307,0.018377787749112418,0.08087519830495304,spat.dist,phylo.dist,plant.dist,1218,Microbiome ~ spat.dist + phylo.dist + plant.dist,250
250000000,Aitchison,-0.009269149993346274,0.761,-0.030694582433142426,0.012973997911814018,plant.dist,spat.dist,phylo.dist,1218,Microbiome ~ plant.dist + spat.dist + phylo.dist,250
260000000,Aitchison,0.20071285055050817,0.001,0.14112410053527047,0.225665807901484,phylo.dist,plant.dist,spat.dist,1183,Microbiome ~ phylo.dist + plant.dist + spat.dist,260
260000000,Aitchison,0.05165419641591282,0.317,0.02081414098843213,0.0904305527649518,spat.dist,phylo.dist,plant.dist,1183,Microbiome ~ spat.dist + phylo.dist + plant.dist,260
260000000,Aitchison,-0.009770969487178134,0.788,-0.03347273995640811,0.01461155338270833,plant.dist,spat.dist,phylo.dist,1183,Microbiome ~ plant.dist + spat.dist + phylo.dist,260
270000000,Aitchison,0.20298550631382486,0.001,0.14745532603807138,0.2264858031062349,phylo.dist,plant.dist,spat.dist,1144,Microbiome ~ phylo.dist + plant.dist + spat.dist,270
270000000,Aitchison,0.05388761199400172,0.282,0.022420694917888343,0.09017995810669709,spat.dist,phylo.dist,plant.dist,1144,Microbiome ~ spat.dist + phylo.dist + plant.dist,270
270000000,Aitchison,-0.010623257586499154,0.762,-0.0367852771897823,0.011774014737387227,plant.dist,spat.dist,phylo.dist,1144,Microbiome ~ plant.dist + spat.dist + phylo.dist,270
280000000,Aitchison,0.20322966833486675,0.001,0.13693705000469597,0.2273692230255745,phylo.dist,plant.dist,spat.dist,1107,Microbiome ~ phylo.dist + plant.dist + spat.dist,280
280000000,Aitchison,0.05589671704132363,0.292,0.02046091602828828,0.0910258211611088,spat.dist,phylo.dist,plant.dist,1107,Microbiome ~ spat.dist + phylo.dist + plant.dist,280
280000000,Aitchison,-0.0062963302549950174,0.816,-0.03434342933752353,0.017403917794997434,plant.dist,spat.dist,phylo.dist,1107,Microbiome ~ plant.dist + spat.dist + phylo.dist,280
290000000,Aitchison,0.20390858719530533,0.001,0.1467608277144743,0.22851857176051688,phylo.dist,plant.dist,spat.dist,1076,Microbiome ~ phylo.dist + plant.dist + spat.dist,290
290000000,Aitchison,0.05709210567328119,0.253,0.027262370451997777,0.0944447571405303,spat.dist,phylo.dist,plant.dist,1076,Microbiome ~ spat.dist + phylo.dist + plant.dist,290
290000000,Aitchison,-0.005615626089597613,0.859,-0.028452535856512664,0.01940556998565213,plant.dist,spat.dist,phylo.dist,1076,Microbiome ~ plant.dist + spat.dist + phylo.dist,290
300000000,Aitchison,0.20585246371852559,0.001,0.14884541060245368,0.22806576784436516,phylo.dist,plant.dist,spat.dist,1058,Microbiome ~ phylo.dist + plant.dist + spat.dist,300
300000000,Aitchison,0.05768441220920987,0.243,0.024130360170715372,0.09561790485089433,spat.dist,phylo.dist,plant.dist,1058,Microbiome ~ spat.dist + phylo.dist + plant.dist,300
300000000,Aitchison,-0.006042064075435573,0.865,-0.029550988415723393,0.018945699427297742,plant.dist,spat.dist,phylo.dist,1058,Microbiome ~ plant.dist + spat.dist + phylo.dist,300
310000000,Aitchison,0.20305044482275386,0.001,0.14148571097839388,0.22521631286006027,phylo.dist,plant.dist,spat.dist,1037,Microbiome ~ phylo.dist + plant.dist + spat.dist,310
310000000,Aitchison,0.05952119384895601,0.235,0.024519753430851984,0.09146973604524342,spat.dist,phylo.dist,plant.dist,1037,Microbiome ~ spat.dist + phylo.dist + plant.dist,310
310000000,Aitchison,-0.0037835134898831823,0.911,-0.028442715362079127,0.019302283397099135,plant.dist,spat.dist,phylo.dist,1037,Microbiome ~ plant.dist + spat.dist + phylo.dist,310
320000000,Aitchison,0.2034189706424675,0.001,0.1480752758392146,0.22788979773088752,phylo.dist,plant.dist,spat.dist,1009,Microbiome ~ phylo.dist + plant.dist + spat.dist,320
320000000,Aitchison,0.05997509161887474,0.208,0.024355610768143493,0.09350350242407146,spat.dist,phylo.dist,plant.dist,1009,Microbiome ~ spat.dist + phylo.dist + plant.dist,320
320000000,Aitchison,-0.003499105503369265,0.915,-0.028874644315353505,0.018989009989231385,plant.dist,spat.dist,phylo.dist,1009,Microbiome ~ plant.dist + spat.dist + phylo.dist,320
330000000,Aitchison,0.20281433416840225,0.001,0.1464817471068222,0.22682419000177462,phylo.dist,plant.dist,spat.dist,966,Microbiome ~ phylo.dist + plant.dist + spat.dist,330
330000000,Aitchison,0.060391617511687666,0.237,0.024166387914516623,0.09589841407333355,spat.dist,phylo.dist,plant.dist,966,Microbiome ~ spat.dist + phylo.dist + plant.dist,330
330000000,Aitchison,0.004428981279217985,0.884,-0.02489094334172892,0.02790186337821425,plant.dist,spat.dist,phylo.dist,966,Microbiome ~ plant.dist + spat.dist + phylo.dist,330
340000000,Aitchison,0.2024443378279638,0.001,0.1401679735809107,0.22605331496034184,phylo.dist,plant.dist,spat.dist,949,Microbiome ~ phylo.dist + plant.dist + spat.dist,340
340000000,Aitchison,0.0610836517516141,0.217,0.02714994131250802,0.09385148509101637,spat.dist,phylo.dist,plant.dist,949,Microbiome ~ spat.dist + phylo.dist + plant.dist,340
340000000,Aitchison,0.006523699433189574,0.833,-0.018800076740752326,0.02840281689533003,plant.dist,spat.dist,phylo.dist,949,Microbiome ~ plant.dist + spat.dist + phylo.dist,340
350000000,Aitchison,0.20288138389177982,0.001,0.14662413773087815,0.22688529141595004,phylo.dist,plant.dist,spat.dist,922,Microbiome ~ phylo.dist + plant.dist + spat.dist,350
350000000,Aitchison,0.06239516396424002,0.207,0.025860512541284547,0.09683160121674933,spat.dist,phylo.dist,plant.dist,922,Microbiome ~ spat.dist + phylo.dist + plant.dist,350
350000000,Aitchison,0.0063020233233028345,0.837,-0.021795903007312017,0.030761552235737934,plant.dist,spat.dist,phylo.dist,922,Microbiome ~ plant.dist + spat.dist + phylo.dist,350
360000000,Aitchison,0.20333112754947125,0.001,0.1488569999614397,0.225624009523608,phylo.dist,plant.dist,spat.dist,900,Microbiome ~ phylo.dist + plant.dist + spat.dist,360
360000000,Aitchison,0.06367896230374141,0.206,0.030498056175101915,0.10014358806642343,spat.dist,phylo.dist,plant.dist,900,Microbiome ~ spat.dist + phylo.dist + plant.dist,360
360000000,Aitchison,0.0060037684692456125,0.847,-0.017376833263194377,0.030759348105122646,plant.dist,spat.dist,phylo.dist,900,Microbiome ~ plant.dist + spat.dist + phylo.dist,360
370000000,Aitchison,0.20414896704571603,0.001,0.1472671344321378,0.22991950003316947,phylo.dist,plant.dist,spat.dist,879,Microbiome ~ phylo.dist + plant.dist + spat.dist,370
370000000,Aitchison,0.0659704887062046,0.166,0.029339222719690507,0.09776455908510559,spat.dist,phylo.dist,plant.dist,879,Microbiome ~ spat.dist + phylo.dist + plant.dist,370
370000000,Aitchison,0.006898168784977694,0.829,-0.015266773437357573,0.029600505090490673,plant.dist,spat.dist,phylo.dist,879,Microbiome ~ plant.dist + spat.dist + phylo.dist,370
380000000,Aitchison,0.20419941587141965,0.001,0.14869604237844553,0.22781741272076142,phylo.dist,plant.dist,spat.dist,857,Microbiome ~ phylo.dist + plant.dist + spat.dist,380
380000000,Aitchison,0.06792546772111904,0.163,0.03139823102237646,0.10440222951468335,spat.dist,phylo.dist,plant.dist,857,Microbiome ~ spat.dist + phylo.dist + plant.dist,380
380000000,Aitchison,0.007797448285403653,0.817,-0.016870266822410968,0.03008990821222783,plant.dist,spat.dist,phylo.dist,857,Microbiome ~ plant.dist + spat.dist + phylo.dist,380
390000000,Aitchison,0.20453494190526025,0.001,0.14420483741356865,0.23009555982349805,phylo.dist,plant.dist,spat.dist,840,Microbiome ~ phylo.dist + plant.dist + spat.dist,390
390000000,Aitchison,0.06909270099215059,0.152,0.03188147082976281,0.10047880831396236,spat.dist,phylo.dist,plant.dist,840,Microbiome ~ spat.dist + phylo.dist + plant.dist,390
390000000,Aitchison,0.0076711475319524375,0.821,-0.018742398674260096,0.030738133208401797,plant.dist,spat.dist,phylo.dist,840,Microbiome ~ plant.dist + spat.dist + phylo.dist,390
400000000,Aitchison,0.20624962013067255,0.001,0.14688222976681875,0.2305294119903441,phylo.dist,plant.dist,spat.dist,821,Microbiome ~ phylo.dist + plant.dist + spat.dist,400
400000000,Aitchison,0.07004528324034406,0.176,0.03360049554491412,0.10542143773167326,spat.dist,phylo.dist,plant.dist,821,Microbiome ~ spat.dist + phylo.dist + plant.dist,400
400000000,Aitchison,0.007000544028384015,0.843,-0.018425705571055988,0.028279433221668395,plant.dist,spat.dist,phylo.dist,821,Microbiome ~ plant.dist + spat.dist + phylo.dist,400
410000000,Aitchison,0.20699695515348976,0.001,0.15230678106188394,0.2336964645223482,phylo.dist,plant.dist,spat.dist,796,Microbiome ~ phylo.dist + plant.dist + spat.dist,410
410000000,Aitchison,0.07236369555795712,0.127,0.03814459132854853,0.10910654044872531,spat.dist,phylo.dist,plant.dist,796,Microbiome ~ spat.dist + phylo.dist + plant.dist,410
410000000,Aitchison,0.00838351214835431,0.811,-0.019612310929336144,0.03221188307764608,plant.dist,spat.dist,phylo.dist,796,Microbiome ~ plant.dist + spat.dist + phylo.dist,410
420000000,Aitchison,0.20825055569738746,0.001,0.15579511540884128,0.23221284379971174,phylo.dist,plant.dist,spat.dist,772,Microbiome ~ phylo.dist + plant.dist + spat.dist,420
420000000,Aitchison,0.07323850088891763,0.131,0.03131121317685,0.10845971062360132,spat.dist,phylo.dist,plant.dist,772,Microbiome ~ spat.dist + phylo.dist + plant.dist,420
420000000,Aitchison,0.007550651240283867,0.809,-0.018626412907975134,0.02954029343849173,plant.dist,spat.dist,phylo.dist,772,Microbiome ~ plant.dist + spat.dist + phylo.dist,420
430000000,Aitchison,0.21171867117524226,0.001,0.15545602975116507,0.23573079273991035,phylo.dist,plant.dist,spat.dist,753,Microbiome ~ phylo.dist + plant.dist + spat.dist,430
430000000,Aitchison,0.07174138399373076,0.153,0.03762592991352411,0.10679656003318641,spat.dist,phylo.dist,plant.dist,753,Microbiome ~ spat.dist + phylo.dist + plant.dist,430
430000000,Aitchison,0.0062446893866092,0.841,-0.017474691461251003,0.029583964956096692,plant.dist,spat.dist,phylo.dist,753,Microbiome ~ plant.dist + spat.dist + phylo.dist,430
440000000,Aitchison,0.21189055265593407,0.001,0.15712941203486924,0.23482356667198095,phylo.dist,plant.dist,spat.dist,737,Microbiome ~ phylo.dist + plant.dist + spat.dist,440
440000000,Aitchison,0.07277264146470983,0.152,0.03697549532974063,0.11123232120433292,spat.dist,phylo.dist,plant.dist,737,Microbiome ~ spat.dist + phylo.dist + plant.dist,440
440000000,Aitchison,0.006396528261345457,0.865,-0.020918252299296322,0.029740087271785086,plant.dist,spat.dist,phylo.dist,737,Microbiome ~ plant.dist + spat.dist + phylo.dist,440
450000000,Aitchison,0.21328887746474548,0.001,0.1552110201503585,0.23649424923753293,phylo.dist,plant.dist,spat.dist,702,Microbiome ~ phylo.dist + plant.dist + spat.dist,450
450000000,Aitchison,0.07504899047684412,0.124,0.03932002530957841,0.11035728729731134,spat.dist,phylo.dist,plant.dist,702,Microbiome ~ spat.dist + phylo.dist + plant.dist,450
450000000,Aitchison,0.005682868987859466,0.862,-0.018901026119359357,0.026098704938917937,plant.dist,spat.dist,phylo.dist,702,Microbiome ~ plant.dist + spat.dist + phylo.dist,450
460000000,Aitchison,0.21261440625639538,0.001,0.16197796643554857,0.23724909880869477,phylo.dist,plant.dist,spat.dist,684,Microbiome ~ phylo.dist + plant.dist + spat.dist,460
460000000,Aitchison,0.07080952667969886,0.136,0.03127671199900311,0.11194279233143899,spat.dist,phylo.dist,plant.dist,684,Microbiome ~ spat.dist + phylo.dist + plant.dist,460
460000000,Aitchison,0.009524366265041028,0.766,-0.015189146096631738,0.03068404866107059,plant.dist,spat.dist,phylo.dist,684,Microbiome ~ plant.dist + spat.dist + phylo.dist,460
470000000,Aitchison,0.2142390257419552,0.001,0.1606766662806722,0.2401426432022217,phylo.dist,plant.dist,spat.dist,661,Microbiome ~ phylo.dist + plant.dist + spat.dist,470
470000000,Aitchison,0.07218093071580503,0.139,0.03908409084916768,0.11109076263364387,spat.dist,phylo.dist,plant.dist,661,Microbiome ~ spat.dist + phylo.dist + plant.dist,470
470000000,Aitchison,0.010593402096925546,0.735,-0.014994942398349927,0.030703881251477702,plant.dist,spat.dist,phylo.dist,661,Microbiome ~ plant.dist + spat.dist + phylo.dist,470
480000000,Aitchison,0.21381374376053275,0.001,0.1618097990496034,0.23776605447687185,phylo.dist,plant.dist,spat.dist,640,Microbiome ~ phylo.dist + plant.dist + spat.dist,480
480000000,Aitchison,0.07449725168332091,0.137,0.035461257530781776,0.1131152952200398,spat.dist,phylo.dist,plant.dist,640,Microbiome ~ spat.dist + phylo.dist + plant.dist,480
480000000,Aitchison,0.010948480471359106,0.744,-0.016128341564649654,0.0329364800507444,plant.dist,spat.dist,phylo.dist,640,Microbiome ~ plant.dist + spat.dist + phylo.dist,480
490000000,Aitchison,0.21733595045850837,0.001,0.16530307829781937,0.2401170073776684,phylo.dist,plant.dist,spat.dist,611,Microbiome ~ phylo.dist + plant.dist + spat.dist,490
490000000,Aitchison,0.07096693852571813,0.171,0.034541628616916766,0.10535471964690174,spat.dist,phylo.dist,plant.dist,611,Microbiome ~ spat.dist + phylo.dist + plant.dist,490
490000000,Aitchison,0.011955268942378347,0.723,-0.011287094561670909,0.03288963152717707,plant.dist,spat.dist,phylo.dist,611,Microbiome ~ plant.dist + spat.dist + phylo.dist,490
