joint,values,upper,Sample_Name,OTU,signif
Trioza_OMAHUTA-SV16_Sphingobium,-11.482687126568226,-11.423600115117289,Trioza_OMAHUTA,SV16_Sphingobium,0
Trioza_sp_B-SV16_Sphingobium,-12.104774117183837,-12.045493286817367,Trioza_sp_B,SV16_Sphingobium,0
Trioza_compressa-SV16_Sphingobium,-12.261171531456343,-12.209257637935673,Trioza_compressa,SV16_Sphingobium,0
Trioza_gourlayi-SV16_Sphingobium,-11.093794605428272,-11.040281378066387,Trioza_gourlayi,SV16_Sphingobium,0
Trioza_colorata-SV16_Sphingobium,-12.697206326698966,-12.63433125162163,Trioza_colorata,SV16_Sphingobium,0
Trioza_dacrydii-SV16_Sphingobium,-11.96238512489711,-11.901611376527763,Trioza_dacrydii,SV16_Sphingobium,0
Trioza_obscura-SV16_Sphingobium,-14.453770799157061,-14.411303955822287,Trioza_obscura,SV16_Sphingobium,1
Trioza_FORTROSE-SV16_Sphingobium,-14.40794980517369,-14.316344193850096,Trioza_FORTROSE,SV16_Sphingobium,1
Trioza_sp_A-SV16_Sphingobium,-11.793253231997781,-11.73189146988734,Trioza_sp_A,SV16_Sphingobium,0
Trioza_sp_D-SV16_Sphingobium,-11.177653284774838,-11.115631153581536,Trioza_sp_D,SV16_Sphingobium,0
Trioza_irregularis-SV16_Sphingobium,-10.913280587906788,-10.859792902527698,Trioza_irregularis,SV16_Sphingobium,0
Trioza_MASSEY-SV16_Sphingobium,-16.9201144704432,-16.8336005703105,Trioza_MASSEY,SV16_Sphingobium,1
Trioza_bifida-SV17_Reyranella,-21.452152461525444,-21.18060522292471,Trioza_bifida,SV17_Reyranella,1
Trioza_decurvata-SV17_Reyranella,-21.444192699914716,-21.168618144105878,Trioza_decurvata,SV17_Reyranella,1
Trioza_colorata-SV17_Reyranella,-23.59952764211081,-23.240222660190696,Trioza_colorata,SV17_Reyranella,1
Trioza_dacrydii-SV17_Reyranella,-28.771100163073754,-28.34585124917231,Trioza_dacrydii,SV17_Reyranella,1
Trioza_discariae-SV17_Reyranella,-22.969536328031882,-22.67114937165066,Trioza_discariae,SV17_Reyranella,1
Trioza_vitreoradiata-SV17_Reyranella,-20.101500676028913,-19.82530885614927,Trioza_vitreoradiata,SV17_Reyranella,1
Trioza_fasciata-SV17_Reyranella,-23.331298360512438,-23.05327521796896,Trioza_fasciata,SV17_Reyranella,1
Trioza_irregularis-SV17_Reyranella,-21.968011305462486,-21.613868557197442,Trioza_irregularis,SV17_Reyranella,1
Trioza_sp_C-SV17_Reyranella,-21.420722965787043,-21.10205844881198,Trioza_sp_C,SV17_Reyranella,1
Trioza_panacis-SV17_Reyranella,-23.978950306882012,-23.567280592778346,Trioza_panacis,SV17_Reyranella,1
Trioza_PRICES_VALLEY-SV17_Reyranella,-34.391136459101624,-34.008251594448616,Trioza_PRICES_VALLEY,SV17_Reyranella,1
Trioza_compressa-SV18_Reyranella,-14.52166926642455,-14.337883421750021,Trioza_compressa,SV18_Reyranella,1
Trioza_bifida-SV18_Reyranella,-12.8036390106497,-12.65449616360263,Trioza_bifida,SV18_Reyranella,0
Trioza_acuta-SV18_Reyranella,-15.277546117666231,-15.058597820844174,Trioza_acuta,SV18_Reyranella,1
Trioza_decurvata-SV18_Reyranella,-15.089716802734888,-14.888911634221568,Trioza_decurvata,SV18_Reyranella,1
Trioza_colorata-SV18_Reyranella,-17.2899871632667,-17.077650463964837,Trioza_colorata,SV18_Reyranella,1
Trioza_dacrydii-SV18_Reyranella,-15.74010024011752,-15.501334247340804,Trioza_dacrydii,SV18_Reyranella,1
Trioza_discariae-SV18_Reyranella,-17.603686403435706,-17.406997953610205,Trioza_discariae,SV18_Reyranella,1
Trioza_sp_A-SV18_Reyranella,-16.54849910845361,-16.35500916203215,Trioza_sp_A,SV18_Reyranella,1
Trioza_vitreoradiata-SV18_Reyranella,-18.14895555960839,-17.922638352017334,Trioza_vitreoradiata,SV18_Reyranella,1
Trioza_sp_D-SV18_Reyranella,-15.147615215485107,-14.945245569916779,Trioza_sp_D,SV18_Reyranella,1
Trioza_fasciata-SV18_Reyranella,-18.13146306357983,-17.947056757690294,Trioza_fasciata,SV18_Reyranella,1
Trioza_sp_C-SV18_Reyranella,-16.04704451479254,-15.80769805530001,Trioza_sp_C,SV18_Reyranella,1
Trioza_panacis-SV18_Reyranella,-16.664530323489885,-16.393042848516906,Trioza_panacis,SV18_Reyranella,1
Trioza_PRICES_VALLEY-SV18_Reyranella,-20.956427446469128,-20.75501004856829,Trioza_PRICES_VALLEY,SV18_Reyranella,1
Trioza_doryphora-SV19_Reyranella,-21.833504704882294,-21.545605891657654,Trioza_doryphora,SV19_Reyranella,1
Trioza_subacuta-SV19_Reyranella,-24.16875771564574,-23.80265074931921,Trioza_subacuta,SV19_Reyranella,1
Trioza_bifida-SV19_Reyranella,-16.995411642493327,-16.75178221135414,Trioza_bifida,SV19_Reyranella,1
Trioza_acuta-SV19_Reyranella,-18.75278702346831,-18.46403847041966,Trioza_acuta,SV19_Reyranella,1
Trioza_acuta_B-SV19_Reyranella,-19.972589509083367,-19.66547507514749,Trioza_acuta_B,SV19_Reyranella,1
Trioza_decurvata-SV19_Reyranella,-20.413922322403536,-20.14582971633836,Trioza_decurvata,SV19_Reyranella,1
Trioza_colorata-SV19_Reyranella,-22.535482823710684,-22.235593027654105,Trioza_colorata,SV19_Reyranella,1
Trioza_dacrydii-SV19_Reyranella,-27.63968921857019,-27.253114948062702,Trioza_dacrydii,SV19_Reyranella,1
Trioza_discariae-SV19_Reyranella,-22.538768362558496,-22.192907894491597,Trioza_discariae,SV19_Reyranella,1
Trioza_emarginata-SV19_Reyranella,-25.205658659577313,-24.843406902162666,Trioza_emarginata,SV19_Reyranella,1
Trioza_hebicola-SV19_Reyranella,-22.37731671151725,-22.060087596166785,Trioza_hebicola,SV19_Reyranella,1
Trioza_vitreoradiata-SV19_Reyranella,-23.93644867678078,-23.632635584166188,Trioza_vitreoradiata,SV19_Reyranella,1
Trioza_fasciata-SV19_Reyranella,-22.788915163508257,-22.51337570348321,Trioza_fasciata,SV19_Reyranella,1
Trioza_irregularis-SV19_Reyranella,-23.91565974396964,-23.570522444476264,Trioza_irregularis,SV19_Reyranella,1
Trioza_sp_C-SV19_Reyranella,-22.701167189526057,-22.36356754054502,Trioza_sp_C,SV19_Reyranella,1
Trioza_panacis-SV19_Reyranella,-23.9108099069477,-23.548205751294095,Trioza_panacis,SV19_Reyranella,1
Trioza_PRICES_VALLEY-SV19_Reyranella,-31.390100760491563,-31.032737909285938,Trioza_PRICES_VALLEY,SV19_Reyranella,1
Trioza_dacrydii-SV20_Reyranella,-22.043686038933526,-21.677955664789607,Trioza_dacrydii,SV20_Reyranella,1
Trioza_panacis-SV20_Reyranella,-21.921478589550624,-21.54497479454525,Trioza_panacis,SV20_Reyranella,1
Trioza_adventicia-SV21_Reyranella,-43.02563775542893,-42.73927867052472,Trioza_adventicia,SV21_Reyranella,1
Trioza_acuta-SV21_Reyranella,-21.560607353683263,-21.328582678903356,Trioza_acuta,SV21_Reyranella,1
Trioza_vitreoradiata-SV21_Reyranella,-21.363528695036546,-21.08566606964164,Trioza_vitreoradiata,SV21_Reyranella,1
Trioza_fasciata-SV21_Reyranella,-24.11539979882985,-23.781263234134585,Trioza_fasciata,SV21_Reyranella,1
Trioza_irregularis-SV21_Reyranella,-22.85332719098882,-22.583089361295094,Trioza_irregularis,SV21_Reyranella,1
Trioza_panacis-SV21_Reyranella,-22.74065589596042,-22.508546203062316,Trioza_panacis,SV21_Reyranella,1
Trioza_PRICES_VALLEY-SV21_Reyranella,-21.69852730292398,-21.43179608589519,Trioza_PRICES_VALLEY,SV21_Reyranella,1
Trioza_discariae-SV22_f__SM2D12,-28.015170613351675,-27.6946334393923,Trioza_discariae,SV22_f__SM2D12,1
Trioza_sp_A-SV23_c__Alphaproteobacteria,-11.514814782819602,-11.426440332816066,Trioza_sp_A,SV23_c__Alphaproteobacteria,0
Trioza_PRICES_VALLEY-SV23_c__Alphaproteobacteria,-21.292950046361117,-21.164817620187407,Trioza_PRICES_VALLEY,SV23_c__Alphaproteobacteria,1
Trioza_falcata-SV24_d__Bacteria,-16.315983171456505,-16.189728835924768,Trioza_falcata,SV24_d__Bacteria,1
Trioza_discariae-SV24_d__Bacteria,-16.31312648383442,-16.2004875671061,Trioza_discariae,SV24_d__Bacteria,1
Trioza_vitreoradiata-SV24_d__Bacteria,-14.061584125952141,-13.934733254343586,Trioza_vitreoradiata,SV24_d__Bacteria,0
Trioza_fasciata-SV24_d__Bacteria,-15.843714273249054,-15.737376790062383,Trioza_fasciata,SV24_d__Bacteria,1
Trioza_sp_C-SV24_d__Bacteria,-13.244391235133042,-13.10867128387883,Trioza_sp_C,SV24_d__Bacteria,0
Trioza_panacis-SV24_d__Bacteria,-13.153779127704947,-13.05962444808131,Trioza_panacis,SV24_d__Bacteria,0
Trioza_adventicia-SV26_Wolbachia,-40.80603188483559,-40.619705754992815,Trioza_adventicia,SV26_Wolbachia,1
Trioza_curta-SV26_Wolbachia,-39.134944899647344,-38.90126713323025,Trioza_curta,SV26_Wolbachia,1
Trioza_BRENDA_MAY-SV26_Wolbachia,-12.931061767371766,-12.817089861251965,Trioza_BRENDA_MAY,SV26_Wolbachia,0
Trioza_doryphora-SV26_Wolbachia,-12.622862872010684,-12.508559925777947,Trioza_doryphora,SV26_Wolbachia,0
Trioza_subacuta-SV26_Wolbachia,-12.716332800276119,-12.608497788657253,Trioza_subacuta,SV26_Wolbachia,0
Trioza_subvexa-SV26_Wolbachia,-12.392776725993844,-12.281844692328134,Trioza_subvexa,SV26_Wolbachia,0
Trioza_OMAHUTA-SV26_Wolbachia,-12.573384479606133,-12.450954426548533,Trioza_OMAHUTA,SV26_Wolbachia,0
Trioza_sp_B-SV26_Wolbachia,-11.930095740368627,-11.80569513269793,Trioza_sp_B,SV26_Wolbachia,0
Trioza_compressa-SV26_Wolbachia,-13.711089126807522,-13.589358747135043,Trioza_compressa,SV26_Wolbachia,0
Trioza_bifida-SV26_Wolbachia,-14.292087780202358,-14.116933970755465,Trioza_bifida,SV26_Wolbachia,1
Trioza_gourlayi-SV26_Wolbachia,-13.461445636264768,-13.32799928053207,Trioza_gourlayi,SV26_Wolbachia,0
Trioza_acuta-SV26_Wolbachia,-15.329114769955371,-15.208362337526045,Trioza_acuta,SV26_Wolbachia,1
Trioza_acuta_B-SV26_Wolbachia,-14.420429730721658,-14.300499971185701,Trioza_acuta_B,SV26_Wolbachia,1
Trioza_decurvata-SV26_Wolbachia,-15.08166195356166,-14.956589761346525,Trioza_decurvata,SV26_Wolbachia,1
Trioza_colorata-SV26_Wolbachia,-15.01421042037294,-14.883772194267125,Trioza_colorata,SV26_Wolbachia,1
Trioza_dacrydii-SV26_Wolbachia,-14.63900430641965,-14.510453908336611,Trioza_dacrydii,SV26_Wolbachia,1
Trioza_obscura-SV26_Wolbachia,-16.06166023224591,-15.929632947213387,Trioza_obscura,SV26_Wolbachia,1
Trioza_FORTROSE-SV26_Wolbachia,-15.713295779296459,-15.535620286379126,Trioza_FORTROSE,SV26_Wolbachia,1
Trioza_falcata-SV26_Wolbachia,-16.02584179136379,-15.876566452125026,Trioza_falcata,SV26_Wolbachia,1
Trioza_discariae-SV26_Wolbachia,-14.423833533759531,-14.278851152030379,Trioza_discariae,SV26_Wolbachia,1
Trioza_emarginata-SV26_Wolbachia,-16.463181120126816,-16.335957019087854,Trioza_emarginata,SV26_Wolbachia,1
Trioza_hebicola-SV26_Wolbachia,-16.764198440701353,-16.619512465602984,Trioza_hebicola,SV26_Wolbachia,1
Trioza_sp_A-SV26_Wolbachia,-16.253684177418044,-16.09203967933162,Trioza_sp_A,SV26_Wolbachia,1
Trioza_vitreoradiata-SV26_Wolbachia,-16.2964261601352,-16.124997736923646,Trioza_vitreoradiata,SV26_Wolbachia,1
Trioza_sp_D-SV26_Wolbachia,-16.08425224214159,-15.896227141817883,Trioza_sp_D,SV26_Wolbachia,1
Trioza_fasciata-SV26_Wolbachia,-17.30629354949655,-17.119517659862723,Trioza_fasciata,SV26_Wolbachia,1
Trioza_irregularis-SV26_Wolbachia,-15.756186469317504,-15.633354587409682,Trioza_irregularis,SV26_Wolbachia,1
Trioza_sp_C-SV26_Wolbachia,-16.02828004652479,-15.89866704090368,Trioza_sp_C,SV26_Wolbachia,1
Trioza_panacis-SV26_Wolbachia,-16.01462377281595,-15.874862887877738,Trioza_panacis,SV26_Wolbachia,1
Trioza_MASSEY-SV26_Wolbachia,-22.3349093470445,-22.15995769139358,Trioza_MASSEY,SV26_Wolbachia,1
Trioza_PRICES_VALLEY-SV26_Wolbachia,-20.274914298099652,-20.067504770509313,Trioza_PRICES_VALLEY,SV26_Wolbachia,1
Trioza_colorata-SV27_Wolbachia,-21.85347645682823,-21.69931728470467,Trioza_colorata,SV27_Wolbachia,1
Trioza_curta-SV29_Wolbachia,-36.176916886823825,-36.000684886017154,Trioza_curta,SV29_Wolbachia,1
Trioza_compressa-SV29_Wolbachia,-16.251997933899315,-16.13604656806571,Trioza_compressa,SV29_Wolbachia,1
Trioza_vitreoradiata-SV31_Wolbachia,-15.630865499062484,-15.431574390712292,Trioza_vitreoradiata,SV31_Wolbachia,1
Trioza_irregularis-SV31_Wolbachia,-20.08675164924673,-19.906746619780535,Trioza_irregularis,SV31_Wolbachia,1
Trioza_obscura-SV35_Rickettsia,-17.559235273869366,-17.443301400168547,Trioza_obscura,SV35_Rickettsia,1
Trioza_sp_D-SV35_Rickettsia,-14.40444669149304,-14.270933157193028,Trioza_sp_D,SV35_Rickettsia,1
Trioza_curta-SV44_o__CHAB_XI_27,-36.959596916457144,-36.721498803356624,Trioza_curta,SV44_o__CHAB_XI_27,1
Trioza_BRENDA_MAY-SV44_o__CHAB_XI_27,-17.233003938833765,-17.097227943722544,Trioza_BRENDA_MAY,SV44_o__CHAB_XI_27,1
Trioza_sp_B-SV44_o__CHAB_XI_27,-20.484135491402252,-20.308346395340294,Trioza_sp_B,SV44_o__CHAB_XI_27,1
Trioza_colorata-SV44_o__CHAB_XI_27,-19.080751342496406,-18.828740745012556,Trioza_colorata,SV44_o__CHAB_XI_27,1
Trioza_dacrydii-SV44_o__CHAB_XI_27,-21.162969441735466,-20.93887637646635,Trioza_dacrydii,SV44_o__CHAB_XI_27,1
Trioza_obscura-SV44_o__CHAB_XI_27,-25.262591090905303,-25.07053177959413,Trioza_obscura,SV44_o__CHAB_XI_27,1
Trioza_FORTROSE-SV44_o__CHAB_XI_27,-17.529721194706198,-17.315182809707817,Trioza_FORTROSE,SV44_o__CHAB_XI_27,1
Trioza_sp_A-SV44_o__CHAB_XI_27,-12.905105009942751,-12.755464696250641,Trioza_sp_A,SV44_o__CHAB_XI_27,0
Trioza_sp_D-SV44_o__CHAB_XI_27,-14.750251629468915,-14.609630520144833,Trioza_sp_D,SV44_o__CHAB_XI_27,1
Trioza_irregularis-SV44_o__CHAB_XI_27,-15.963021395156987,-15.778852060245612,Trioza_irregularis,SV44_o__CHAB_XI_27,1
Trioza_adventicia-SV45_Legionella,-34.23659926076569,-34.16822043645145,Trioza_adventicia,SV45_Legionella,1
Trioza_decurvata-SV45_Legionella,-11.25898580603606,-11.216866919254189,Trioza_decurvata,SV45_Legionella,0
Trioza_fasciata-SV45_Legionella,-13.651396320300138,-13.596642925920413,Trioza_fasciata,SV45_Legionella,0
Trioza_adventicia-SV46_c__Gammaproteobacteria,-39.14228717190477,-38.82617945069224,Trioza_adventicia,SV46_c__Gammaproteobacteria,1
Trioza_fasciata-SV54_Candidatus_Carsonella,-14.23843071620319,-14.130409997402904,Trioza_fasciata,SV54_Candidatus_Carsonella,1
Trioza_vitreoradiata-SV66_Candidatus_Carsonella,-14.652594804546606,-14.521973143176403,Trioza_vitreoradiata,SV66_Candidatus_Carsonella,1
Trioza_falcata-SV76_Candidatus_Carsonella,-21.020314984410064,-20.79342309243031,Trioza_falcata,SV76_Candidatus_Carsonella,1
Trioza_MASSEY-SV79_Candidatus_Carsonella,-16.97180323041123,-16.902772171407697,Trioza_MASSEY,SV79_Candidatus_Carsonella,1
Trioza_hebicola-SV80_Candidatus_Carsonella,-19.349212982134798,-19.17353719234974,Trioza_hebicola,SV80_Candidatus_Carsonella,1
Trioza_falcata-SV82_Candidatus_Carsonella,-17.804109626213027,-17.604340457919804,Trioza_falcata,SV82_Candidatus_Carsonella,1
Trioza_emarginata-SV83_Candidatus_Carsonella,-17.097101769645693,-16.766697240903248,Trioza_emarginata,SV83_Candidatus_Carsonella,1
Trioza_FORTROSE-SV84_Candidatus_Carsonella,-15.458310510938592,-15.283114119022018,Trioza_FORTROSE,SV84_Candidatus_Carsonella,1
Trioza_sp_A-SV85_Candidatus_Carsonella,-11.538319598518466,-11.460545329618283,Trioza_sp_A,SV85_Candidatus_Carsonella,0
Trioza_vitreoradiata-SV85_Candidatus_Carsonella,-12.217302860068251,-12.127387014642865,Trioza_vitreoradiata,SV85_Candidatus_Carsonella,0
Trioza_vitreoradiata-SV86_Candidatus_Carsonella,-11.408474711549177,-11.350022723283292,Trioza_vitreoradiata,SV86_Candidatus_Carsonella,0
Trioza_irregularis-SV87_Candidatus_Carsonella,-14.412714296991828,-14.327472400200636,Trioza_irregularis,SV87_Candidatus_Carsonella,1
Trioza_sp_C-SV88_Candidatus_Carsonella,-12.907199361884564,-12.838845304295534,Trioza_sp_C,SV88_Candidatus_Carsonella,0
Trioza_panacis-SV89_Candidatus_Carsonella,-12.931782408297204,-12.879451299511793,Trioza_panacis,SV89_Candidatus_Carsonella,0
Trioza_PRICES_VALLEY-SV90_Candidatus_Carsonella,-18.235517173546825,-18.148543833740337,Trioza_PRICES_VALLEY,SV90_Candidatus_Carsonella,1
Trioza_acuta-SV91_Candidatus_Carsonella,-13.151984050557123,-13.06544646387876,Trioza_acuta,SV91_Candidatus_Carsonella,0
Trioza_acuta_B-SV92_Candidatus_Carsonella,-12.307751161501212,-12.211460521080351,Trioza_acuta_B,SV92_Candidatus_Carsonella,0
Trioza_curta-SV93_Candidatus_Carsonella,-33.53054758974978,-33.465616936522586,Trioza_curta,SV93_Candidatus_Carsonella,1
Trioza_adventicia-SV94_Candidatus_Carsonella,-35.17989562423309,-35.039349727619445,Trioza_adventicia,SV94_Candidatus_Carsonella,1
Trioza_bifida-SV95_Candidatus_Carsonella,-11.861551021734565,-11.764957841000594,Trioza_bifida,SV95_Candidatus_Carsonella,0
Trioza_obscura-SV96_Candidatus_Carsonella,-14.778197375135198,-14.726278630762447,Trioza_obscura,SV96_Candidatus_Carsonella,1
